Board	Ref.	Pos X	Pos Y	Pos Z	Rotation	Part Number	Place Before	Gluing	Skip	Main Mark	Sub Mark	Sub Mark1	Sub Mark2	Carry Mode	Stack Target	Memo	Tag	Assign
11	C214	93.468	81.477	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C214	111.598	51.217	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C214	111.598	66.347	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C214	111.598	81.477	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C215	52.708	48.500	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C215	52.708	63.630	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C215	52.708	78.760	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C215	70.838	48.500	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C215	70.838	63.630	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C215	70.838	78.760	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C215	88.968	48.500	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C215	88.968	63.630	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C215	88.968	78.760	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C215	107.098	48.500	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C215	107.098	63.630	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C215	107.098	78.760	0.000	180.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C216	57.808	43.048	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C216	57.808	58.178	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C216	57.808	73.308	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C216	75.938	43.048	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C216	75.938	58.178	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C216	75.938	73.308	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C216	94.068	43.048	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C216	94.068	58.178	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C216	94.068	73.308	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C216	112.198	43.048	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C216	112.198	58.178	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C216	112.198	73.308	0.000	90.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C217	53.096	46.230	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C217	53.096	61.360	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C217	53.096	76.490	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C217	71.226	46.230	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C217	71.226	61.360	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C217	71.226	76.490	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C217	89.356	46.230	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C217	89.356	61.360	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C217	89.356	76.490	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C217	107.486	46.230	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
5	C217	107.486	61.360	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
12	C217	107.486	76.490	0.000	0.00	1BB01T0448		Yes	No	Mark1	Mark2			Arc			No	S38_1
1	C218	53.096	45.670	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
8	C218	53.096	60.800	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
9	C218	53.096	75.930	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
2	C218	71.226	45.670	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
7	C218	71.226	60.800	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
10	C218	71.226	75.930	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
3	C218	89.356	45.670	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
6	C218	89.356	60.800	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
11	C218	89.356	75.930	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
4	C218	107.486	45.670	0.000	0.00	1BB01T0350		Yes	No	Mark1	Mark2			Arc			No	S38_1
